step,train_loss,test_loss,train_accuracy,test_accuracy
0,2.3261470794677734,2.324576504230499,0.1875,0.17540000000000003
500,1.4095256328582764,1.0952726978063583,0.5,0.601
1000,1.1212079524993896,0.9699756157398224,0.65625,0.6554000000000002
1500,1.3919246196746826,0.8936134332418442,0.625,0.6858
2000,0.7428380846977234,0.7714870858192444,0.6875,0.7283
2500,0.8972118496894836,0.7231474691629409,0.78125,0.7515000000000002
3000,0.6169942617416382,0.6824064272642135,0.75,0.7653000000000003
3500,0.5724682807922363,0.6458592143654823,0.875,0.7795000000000001
4000,0.6885815262794495,0.656082328259945,0.6875,0.7780999999999999
4500,0.4265817105770111,0.6418027651309967,0.8125,0.7836999999999997
4999,0.4558684527873993,0.6250461709499359,0.84375,0.7901000000000005
