step,train_loss,train_accuracy,test_accuracy
0,0.230260309311,0.09,0.1459
100,0.174954391925,0.36,0.3692
200,0.163227243125,0.415,0.4119
300,0.169332979859,0.36,0.3949
400,0.163110430422,0.44,0.4361
500,0.149215101398,0.485,0.4446
600,0.156299412128,0.43,0.4578
700,0.146881837241,0.47,0.4383
800,0.145970916838,0.49,0.4498
900,0.150532658695,0.465,0.4587
1000,0.147339959039,0.45,0.4847
1100,0.150257451002,0.42,0.4583
1200,0.160459328712,0.47,0.4517
1300,0.137096992811,0.5,0.4716
1400,0.127830625385,0.545,0.4495
1499,0.140337996233,0.57,0.4661
